transaction_date,description,amount,category
2025-01-01,Starbucks coffee,-26.11,Dining
2025-01-01,Netflix monthly subscription,-15.99,Entertainment
2025-01-01,Rent payment,-1500.0,Bills
2025-01-05,Grocery store purchase,-82.93,Groceries
2025-01-05,Starbucks coffee,-38.69,Dining
2025-01-07,Restaurant meal,-26.11,Dining
2025-01-10,Cafe lunch,-14.11,Dining
2025-01-10,Internet bill payment,-60.51,Bills
2025-01-11,Starbucks coffee,-7.63,Dining
2025-01-11,Mall purchase,-169.84,Shopping
2025-01-11,Walmart purchase,-124.74,Groceries
2025-01-12,Grocery store purchase,-119.28,Groceries
2025-01-12,Restaurant meal,-17.99,Dining
2025-01-13,Grocery store purchase,-41.83,Groceries
2025-01-13,Starbucks coffee,-22.18,Dining
2025-01-14,Walmart purchase,-63.21,Groceries
2025-01-14,Cafe lunch,-47.25,Dining
2025-01-15,Spotify monthly subscription,-10.99,Entertainment
2025-01-17,Starbucks coffee,-43.56,Dining
2025-01-19,Restaurant meal,-28.93,Dining
2025-01-21,Walmart purchase,-63.53,Groceries
2025-01-22,Starbucks coffee,-30.99,Dining
2025-01-22,Grocery store purchase,-65.33,Groceries
2025-01-24,Walmart purchase,-48.23,Groceries
2025-01-25,Monthly paycheck deposit,5500.0,Salary
2025-01-25,Shell gas fill-up,-47.7,Fuel
2025-01-25,Mall purchase,-189.84,Shopping
2025-01-26,Grocery store purchase,-106.76,Groceries
2025-01-28,Grocery store purchase,-40.83,Groceries
2025-01-31,Starbucks coffee,-8.01,Dining
2025-02-01,Netflix monthly subscription,-15.99,Entertainment
2025-02-01,Rent payment,-1500.0,Bills
2025-02-01,Grocery store purchase,-112.04,Groceries
2025-02-02,Grocery store purchase,-122.3,Groceries
2025-02-03,Starbucks coffee,-44.25,Dining
2025-02-04,Cafe lunch,-36.48,Dining
2025-02-06,Restaurant meal,-12.62,Dining
2025-02-08,Restaurant meal,-33.39,Dining
2025-02-08,Amazon purchase,-160.68,Shopping
2025-02-10,Walmart purchase,-61.0,Groceries
2025-02-10,Internet bill payment,-61.2,Bills
2025-02-11,Cafe lunch,-23.73,Dining
2025-02-13,Cafe lunch,-7.84,Dining
2025-02-13,Grocery store purchase,-94.83,Groceries
2025-02-14,Cafe lunch,-40.89,Dining
2025-02-15,Spotify monthly subscription,-10.99,Entertainment
